date,target,oil,gas,coal,corn,soybean,wheat,rice,usd_eur,usd_jpy,usd_cny,usd_index,usd_rub,cpi_china,cpi_us
25/10/1992,,19.98,2.499,,,,,,0.7591,121.6,5.5515,87.81,,,141.7
01/11/1992,,19.45,2.295,,,,,,0.7626,123.48,5.5525,88.39,,,142.1
08/11/1992,,19.19,2.345,,,,,,0.785,123.45,5.565,90.56,,,142.1
15/11/1992,,19.01,2.423,,,,,,0.7752,124.1,5.5742,89.44,,,142.1
22/11/1992,,19.36,2.155,,,,,,0.7893,124.35,5.66,91.73,,,142.1
29/11/1992,,18.95,2.025,,,,,,0.7952,124.4,5.6955,91.52,,,142.1
06/12/1992,,18.05,1.985,,,,,,0.7913,124.96,5.7864,90.8,,,142.3
13/12/1992,,18.10,2.089,,,,,,0.785,123.9,5.845,90.14,,,142.3
20/12/1992,,18.56,2.092,,,,,,0.7808,123.1,5.85,91.26,,,142.3
27/12/1992,,18.70,1.866,,,,,,0.7935,123.7,5.7518,92.83,,,142.3
03/01/1993,,18.29,1.687,,,,,,0.8085,124.85,5.7518,93.87,,41.34688962,142.8
10/01/1993,,17.48,1.559,,,,,,0.8204,125.41,5.76,94.49,,41.34688962,142.8
17/01/1993,,17.50,1.647,,,,,,0.8143,126.07,5.76,94.19,,41.34688962,142.8
24/01/1993,,17.31,1.634,,,,,,0.8006,125.11,5.775,92.31,,41.34688962,142.8
31/01/1993,,18.47,1.597,,,,,,0.8062,124.65,5.775,93.37,,41.34688962,142.8
07/02/1993,,18.56,1.678,,,,,,0.8274,124.45,5.7855,95.14,,41.58109523,143.1
14/02/1993,,18.21,1.710,,,,,,0.8326,120.62,5.7855,95.39,,41.58109523,143.1
21/02/1993,,18.28,1.906,,,,,,0.824,118.22,5.755,93.96,,41.58109523,143.1
28/02/1993,,18.92,1.856,,,,,,0.831,118.2,5.7402,94.42,,41.58109523,143.1
07/03/1993,,19.37,1.787,,,,,,0.8371,117.6,5.73,94.55,,42.35070979,143.3
14/03/1993,,18.89,1.915,,,,,,0.8415,118.05,5.73,94.5,,42.35070979,143.3
21/03/1993,,18.62,2.087,,,,,,0.8241,116.1,5.7299,93.98,,42.35070979,143.3
28/03/1993,,18.75,1.975,,,,,,0.8258,116.5,5.719,94.15,,42.35070979,143.3
04/04/1993,,19.11,2.025,,,,,,0.8125,113.68,5.719,92.44,,43.57438783,143.8
11/04/1993,,18.77,2.229,,,,,,0.8133,113.15,5.719,92.29,,43.57438783,143.8
18/04/1993,,18.81,2.391,,,,,,0.8144,112.25,5.702,92.2,,43.57438783,143.8
25/04/1993,,18.91,2.758,,,,,,0.7959,110.7,5.6934,89.91,,43.57438783,143.8
02/05/1993,,19.15,2.365,,,,,,0.7978,111.1,5.7084,90.14,,44.22673964,144.2
09/05/1993,,19.19,2.162,,,,,,0.7912,110.35,5.7084,89.65,,44.22673964,144.2
16/05/1993,,18.60,2.262,,,,,,0.808,110.7,5.729,90.55,,44.22673964,144.2
23/05/1993,,18.43,2.119,,,,,,0.8165,110.45,5.729,90.93,,44.22673964,144.2
30/05/1993,,18.60,2.141,,,,,,0.8005,106.93,5.729,89.17,,44.22673964,144.2
06/06/1993,,18.31,2.110,,,,,,0.8148,107.78,5.71,91,,44.16554824,144.3
